DIA;CONC;MTT;%MTT
4;500;0,01;4,220893422
4;500;0,011;4,642982765
4;500;0,008;3,376714738
4;500;0,007;2,954625396
4;500;0,005;2,110446711
4;500;0,006;2,532536053
4;500;0,003;1,266268027
4;500;0,003;1,266268027
4;500;0,001;0,422089342
4;1000;0,012;5,065072107
4;1000;0,01;4,220893422
4;1000;0,01;4,220893422
4;1000;0,014;5,909250791
4;1000;0,011;4,642982765
4;1000;0,011;4,642982765
4;1000;0,009;3,79880408
4;1000;0,007;2,954625396
4;1000;0,006;2,532536053
4;1000;0,016;6,753429476
4;1000;0,008;3,376714738
4;1000;0,012;5,065072107
4;1000;0;0
4;1000;0,004;1,688357369
4;1000;0,005;2,110446711
4;1000;0,007;2,954625396
4;1000;0,006;2,532536053
4;1000;0,005;2,110446711
4;1000;0,009;3,79880408
4;1000;0,008;3,376714738
4;1000;0,009;3,79880408
4;1000;0,008;3,376714738
4;1000;0,008;3,376714738
4;1000;0,007;2,954625396
